fire1_id,fire1_date,fire1_latitude,fire1_longitude,fire2_id,fire2_date,fire2_latitude,fire2_longitude,distance_km,duration_min
9038064,2018-08-03 07:30:00,47.84,-115.96,9065707,2018-07-28 17:37:30,43.77,-107.9,1086.7437,807.115
9038064,2018-08-03 07:30:00,47.84,-115.96,9066427,2018-08-04 12:15:00,48.45,-116.67,219.2834,323.73833333333334
9038064,2018-08-03 07:30:00,47.84,-115.96,9066583,2018-07-29 05:45:00,43.01,-122.04,923.9412,771.5466666666667
9038064,2018-08-03 07:30:00,47.84,-115.96,9071636,2018-07-30 17:37:30,40.77,-111.47,1121.3195,742.875
9038064,2018-08-03 07:30:00,47.84,-115.96,9073125,2018-08-02 06:15:00,35.47,-107.31,2014.6011,1487.135
9038064,2018-08-03 07:30:00,47.84,-115.96,9074823,2018-07-29 14:45:00,34.56,-110.95,2066.6137,1473.1166666666666
9038064,2018-08-03 07:30:00,47.84,-115.96,9083723,2018-08-07 06:07:30,40.01,-121.26,1422.4092,1106.7616666666665
9038064,2018-08-03 07:30:00,47.84,-115.96,9087651,2018-08-08 12:30:00,35.91,-105.81,2066.1066,1495.7916666666667
9038064,2018-08-03 07:30:00,47.84,-115.96,9093430,2018-07-30 23:52:30,38.45,-108.66,1683.2829,1282.5516666666667
9038064,2018-08-03 07:30:00,47.84,-115.96,9095328,2018-07-30 07:15:00,48.8,-116.69,307.5817,364.72833333333335
9038064,2018-08-03 07:30:00,47.84,-115.96,9095808,2018-08-05 06:00:00,47.57,-123.13,762.6051,646.2716666666668
9038064,2018-08-03 07:30:00,47.84,-115.96,9118036,2018-07-29 14:30:00,47.85,-120.54,521.8731,542.17
9038064,2018-08-03 07:30:00,47.84,-115.96,9120308,2018-07-29 09:07:30,39.4,-107.88,1625.7649,1126.3933333333334
9038064,2018-08-03 07:30:00,47.84,-115.96,9122508,2018-07-30 05:45:00,48.27,-116.17,88.6273,230.14
9038064,2018-08-03 07:30:00,47.84,-115.96,9131086,2018-07-29 18:00:00,39.91,-107.63,1484.0295,1144.5233333333333
9038064,2018-08-03 07:30:00,47.84,-115.96,9153287,2018-07-30 06:30:00,44.82,-115.28,670.0148,748.725
9038064,2018-08-03 07:30:00,47.84,-115.96,9155267,2018-07-30 05:07:30,42.83,-111.19,911.735,760.0283333333333
9038064,2018-08-03 07:30:00,47.84,-115.96,9158416,2018-08-01 03:00:00,48.59,-115.16,274.7069,494.2
9038064,2018-08-03 07:30:00,47.84,-115.96,9159692,2018-08-07 07:00:00,42.93,-122.66,1070.6027,1023.615
9038064,2018-08-03 07:30:00,47.84,-115.96,9170696,2018-08-11 17:30:00,34.9,-108.24,2022.4083,1493.605
9038064,2018-08-03 07:30:00,47.84,-115.96,9185154,2018-07-26 20:00:00,42.18,-113.51,984.8385,721.7333333333333
9038064,2018-08-03 07:30:00,47.84,-115.96,9186440,2018-07-27 17:15:00,43.79,-107.94,1083.681,817.255
9038064,2018-08-03 07:30:00,47.84,-115.96,9188070,2018-07-27 12:07:30,25.23,-80.87,4907.9495,3324.935
9038064,2018-08-03 07:30:00,47.84,-115.96,9216987,2018-08-04 19:30:00,48.99,-116.09,293.771,363.87
9038064,2018-08-03 07:30:00,47.84,-115.96,9218536,2018-07-28 04:30:00,34.86,-108.14,2018.9092,1463.9233333333332
9038064,2018-08-03 07:30:00,47.84,-115.96,9218699,2018-07-28 04:00:00,34.85,-108.13,2021.9823999999999,1482.3583333333333
9038064,2018-08-03 07:30:00,47.84,-115.96,9218948,2018-07-26 13:00:00,44.01,-116.15,689.6644,623.7933333333333
9038064,2018-08-03 07:30:00,47.84,-115.96,9227888,2018-08-06 19:05:00,47.51,-117.67,191.5075,188.31833333333333
9038064,2018-08-03 07:30:00,47.84,-115.96,9228131,2018-08-06 19:07:30,39.75,-111.45,1223.1387,821.8283333333333
9038064,2018-08-03 07:30:00,47.84,-115.96,9228844,2018-08-06 19:45:00,47.98,-119.42,341.5103,322.435
9038064,2018-08-03 07:30:00,47.84,-115.96,9231325,2018-08-03 15:45:00,33.34,-97.62,2820.5082,1905.725
9038064,2018-08-03 07:30:00,47.84,-115.96,9231453,2018-08-03 18:30:00,41.81,-112.67,1024.6912,694.3416666666667
9038064,2018-08-03 07:30:00,47.84,-115.96,9231915,2018-08-04 06:00:00,32.47,-98.57,2943.1046,1952.2516666666668
9038064,2018-08-03 07:30:00,47.84,-115.96,9232042,2018-08-03 14:00:00,35.4,-118.77,1954.5718,1464.0
9038064,2018-08-03 07:30:00,47.84,-115.96,9250771,2018-08-02 19:45:00,36.36,-112.3,1706.7455,1383.9366666666667
9038064,2018-08-03 07:30:00,47.84,-115.96,9251016,2018-07-27 17:00:00,40.5,-112.96,1198.0426,858.6683333333333
9038064,2018-08-03 07:30:00,47.84,-115.96,9251374,2018-07-29 19:30:00,39.3,-109.87,1479.4323,1203.2483333333332
9038064,2018-08-03 07:30:00,47.84,-115.96,9255966,2018-07-28 14:15:00,38.46,-111.48,1425.7377,1103.59
9038064,2018-08-03 07:30:00,47.84,-115.96,9256131,2018-07-27 19:30:00,47.79,-119.98,402.352,381.22833333333335
9038064,2018-08-03 07:30:00,47.84,-115.96,9268919,2018-07-28 08:30:00,47.03,-121.7,648.1779,562.8966666666668
9038064,2018-08-03 07:30:00,47.84,-115.96,9269467,2018-07-28 01:00:00,34.61,-110.82,2056.2271,1484.0133333333333
9039170,2018-08-03 15:30:00,47.51,-113.18,9040829,2018-08-02 19:15:00,46.73,-119.34,778.7406,861.7466666666667
9039170,2018-08-03 15:30:00,47.51,-113.18,9041592,2018-08-05 13:30:00,40.71,-110.94,1041.2704,997.6333333333333
9039170,2018-08-03 15:30:00,47.51,-113.18,9041835,2018-08-02 07:07:30,45.42,-121.24,1039.7092,1043.025
9039170,2018-08-03 15:30:00,47.51,-113.18,9043001,2018-08-02 13:30:00,41.96,-113.82,883.4905,957.815
9039170,2018-08-03 15:30:00,47.51,-113.18,9045476,2018-08-03 02:00:00,38.34,-119.92,1764.3163,1506.1083333333333
9039170,2018-08-03 15:30:00,47.51,-113.18,9048237,2018-08-02 16:52:30,44.85,-114.3,602.6554,855.0583333333333
9039170,2018-08-03 15:30:00,47.51,-113.18,9052758,2018-08-02 19:30:00,42.07,-114.62,930.632,989.3816666666667
9039170,2018-08-03 15:30:00,47.51,-113.18,9062347,2018-07-28 07:30:00,33.94,-111.99,1971.993,1673.0233333333333
9039170,2018-08-03 15:30:00,47.51,-113.18,9063512,2018-07-28 15:30:00,41.52,-108.78,1095.1118000000001,1089.37
9039170,2018-08-03 15:30:00,47.51,-113.18,9063927,2018-07-28 14:22:30,46.34,-115.87,568.706,791.9333333333333
9039170,2018-08-03 15:30:00,47.51,-113.18,9065707,2018-07-28 17:37:30,43.77,-107.9,842.8505,947.4333333333333
9039170,2018-08-03 15:30:00,47.51,-113.18,9066427,2018-08-04 12:15:00,48.45,-116.67,636.5441999999999,878.6166666666667
9039170,2018-08-03 15:30:00,47.51,-113.18,9066583,2018-07-29 05:45:00,43.01,-122.04,1341.2018999999998,1326.425
9039170,2018-08-03 15:30:00,47.51,-113.18,9071636,2018-07-30 17:37:30,40.77,-111.47,979.7499,936.0583333333333
9039170,2018-08-03 15:30:00,47.51,-113.18,9073125,2018-08-02 06:15:00,35.47,-107.31,1873.0315,1680.3183333333334
9039170,2018-08-03 15:30:00,47.51,-113.18,9074823,2018-07-29 14:45:00,34.56,-110.95,1925.0441,1666.3
9039170,2018-08-03 15:30:00,47.51,-113.18,9083723,2018-08-07 06:07:30,40.01,-121.26,1758.1204,1474.6033333333332
9039170,2018-08-03 15:30:00,47.51,-113.18,9087651,2018-08-08 12:30:00,35.91,-105.81,1924.5371,1688.975
9039170,2018-08-03 15:30:00,47.51,-113.18,9093430,2018-07-30 23:52:30,38.45,-108.66,1541.7133000000001,1475.7350000000001
9039170,2018-08-03 15:30:00,47.51,-113.18,9095328,2018-07-30 07:15:00,48.8,-116.69,660.543,884.775
9039170,2018-08-03 15:30:00,47.51,-113.18,9095808,2018-08-05 06:00:00,47.57,-123.13,1179.8659,1201.15
9039170,2018-08-03 15:30:00,47.51,-113.18,9118036,2018-07-29 14:30:00,47.85,-120.54,939.1339,1097.0483333333332
9039170,2018-08-03 15:30:00,47.51,-113.18,9120308,2018-07-29 09:07:30,39.4,-107.88,1484.1953,1319.5766666666668
9039170,2018-08-03 15:30:00,47.51,-113.18,9122508,2018-07-30 05:45:00,48.27,-116.17,547.0359,801.1516666666666
9039170,2018-08-03 15:30:00,47.51,-113.18,9131086,2018-07-29 18:00:00,39.91,-107.63,1342.4598999999998,1337.7066666666665
9039170,2018-08-03 15:30:00,47.51,-113.18,9153287,2018-07-30 06:30:00,44.82,-115.28,802.0966,1135.345
9039170,2018-08-03 15:30:00,47.51,-113.18,9155267,2018-07-30 05:07:30,42.83,-111.19,770.1654,953.2116666666666
9039170,2018-08-03 15:30:00,47.51,-113.18,9158416,2018-08-01 03:00:00,48.59,-115.16,454.16040000000004,796.0766666666666
9039170,2018-08-03 15:30:00,47.51,-113.18,9159692,2018-08-07 07:00:00,42.93,-122.66,1487.8635,1578.4933333333333
9039170,2018-08-03 15:30:00,47.51,-113.18,9170696,2018-08-11 17:30:00,34.9,-108.24,1880.8387,1686.7883333333334
9039170,2018-08-03 15:30:00,47.51,-113.18,9185154,2018-07-26 20:00:00,42.18,-113.51,843.269,914.9166666666666
9039170,2018-08-03 15:30:00,47.51,-113.18,9186440,2018-07-27 17:15:00,43.79,-107.94,839.7878000000001,957.5733333333334
9039170,2018-08-03 15:30:00,47.51,-113.18,9188070,2018-07-27 12:07:30,25.23,-80.87,4600.5185,3446.3700000000003
9039170,2018-08-03 15:30:00,47.51,-113.18,9216987,2018-08-04 19:30:00,48.99,-116.09,624.5858000000001,868.245
9039170,2018-08-03 15:30:00,47.51,-113.18,9218536,2018-07-28 04:30:00,34.86,-108.14,1877.3396,1657.1066666666666
9039170,2018-08-03 15:30:00,47.51,-113.18,9218699,2018-07-28 04:00:00,34.85,-108.13,1880.4128,1675.5416666666667
9039170,2018-08-03 15:30:00,47.51,-113.18,9218948,2018-07-26 13:00:00,44.01,-116.15,821.7461999999999,1010.4133333333334
9039170,2018-08-03 15:30:00,47.51,-113.18,9227888,2018-08-06 19:05:00,47.51,-117.67,608.7682,743.1966666666667
9039170,2018-08-03 15:30:00,47.51,-113.18,9228131,2018-08-06 19:07:30,39.75,-111.45,1081.5691000000002,1015.0116666666667
9039170,2018-08-03 15:30:00,47.51,-113.18,9228844,2018-08-06 19:45:00,47.98,-119.42,758.7710999999999,877.3133333333334
9039170,2018-08-03 15:30:00,47.51,-113.18,9231325,2018-08-03 15:45:00,33.34,-97.62,2513.0772,2027.16
9039170,2018-08-03 15:30:00,47.51,-113.18,9231453,2018-08-03 18:30:00,41.81,-112.67,883.1216999999999,887.525
9039170,2018-08-03 15:30:00,47.51,-113.18,9231915,2018-08-04 06:00:00,32.47,-98.57,2635.6736,2073.6866666666665
